,accuracy,f1_score,loss
facial_recognition,1.0,1.0,0.26871022766663827
voice_verification,0.7142857142857143,0.619047619047619,0.6916895758730022
product_recommendation,0.5227272727272727,0.5232605778060324,1.1986522413593002
