member,phrase,augmentation,mfccs_mean,mfccs_std,mfccs_min,mfccs_max,rolloff_mean,rolloff_std,rolloff_min,rolloff_max,energy_mean,energy_std,energy_min,energy_max
jacques,approve,original,-17.50900650024414,130.6829071044922,-626.5582885742188,205.9518280029297,3774.191463694853,2892.174978546222,538.330078125,9819.140625,0.021077907,0.027234172,0.0012006832,0.111627355
jacques,approve,pitch_shift,-21.211078643798828,136.13568115234375,-658.0020751953125,205.09030151367188,4029.966107536765,2809.647947350689,678.2958984375,9496.142578125,0.012475289,0.014256564,0.00092312816,0.052461617
jacques,approve,time_stretch,-19.68184471130371,136.2423095703125,-641.049072265625,202.00135803222656,3909.798916903409,2980.3199089729437,570.6298828125,9668.408203125,0.0153636895,0.019242438,0.0011006168,0.07789865
jacques,approve,background_noise,-13.934184575465403,77.9263768791767,-349.5359946390889,130.00367700289826,8578.176700367647,1419.3618407284623,3639.111328125,9819.140625,0.022874435,0.026263203,0.0036478373,0.11191211
jacques,confirm,original,-20.305944442749023,132.5084686279297,-599.7137451171875,198.81967163085938,3207.8675255408652,1985.5373404872623,882.861328125,9183.9111328125,0.02742747,0.04230758,0.00041552732,0.16540569
jacques,confirm,pitch_shift,-24.701271057128906,135.3103485107422,-619.0001831054688,175.41287231445312,3668.18115234375,1988.4365138947016,1076.66015625,8731.7138671875,0.018325863,0.027838387,0.00022638486,0.112725586
jacques,confirm,time_stretch,-22.622360229492188,136.81825256347656,-622.028076171875,184.41822814941406,3599.6337890625,1903.3981554721381,947.4609375,8204.150390625,0.018860817,0.028459819,0.00028583326,0.11729647
jacques,confirm,background_noise,-15.719415932719665,77.69205111950198,-351.02968630873653,147.9969997764063,8079.671912560096,2152.9633302502325,1442.724609375,9582.275390625,0.029912643,0.04089897,0.0035459886,0.1655382
lorita,approve,original,-15.151333808898926,114.05213928222656,-681.4578857421875,169.48095703125,4898.583984375,1817.7904812923798,1313.525390625,9388.4765625,0.017442986,0.018515091,3.6199708e-06,0.07652746
lorita,approve,pitch_shift,-19.038856506347656,118.23633575439453,-715.5357666015625,156.92367553710938,5765.9912109375,2046.0132412621824,1636.5234375,9786.8408203125,0.01182732,0.012180514,2.6543621e-05,0.047174633
lorita,approve,time_stretch,-17.155006408691406,121.0952377319336,-730.8492431640625,166.81005859375,4975.670186027151,1857.5395989440226,1335.05859375,9248.5107421875,0.011963362,0.011245381,2.9673709e-05,0.051200867
lorita,approve,background_noise,-12.178992290712333,77.9677528859138,-349.1800283620159,110.0309057332316,8562.451171875,844.8389147533163,6147.7294921875,9431.54296875,0.018764712,0.01784669,0.0036253086,0.076683395
lorita,confirm,original,-19.479032516479492,117.1302719116211,-717.09033203125,148.25918579101562,5257.440571845333,1656.9367260707857,818.26171875,8979.345703125,0.010905379,0.011112934,3.938999e-06,0.04178414
lorita,confirm,pitch_shift,-23.403175354003906,121.40312957763672,-750.774658203125,139.72802734375,6230.795867533623,1802.872882373074,1733.4228515625,9151.611328125,0.0074101565,0.0073739574,2.0198164e-05,0.027696133
lorita,confirm,time_stretch,-22.0747013092041,124.59905242919922,-784.5348510742188,139.4772491455078,5601.591573234733,1457.607285686266,2282.51953125,8731.7138671875,0.0065950193,0.0057984767,1.9544534e-05,0.02228653
lorita,confirm,background_noise,-15.92949515810539,78.39925102249339,-353.4996261514754,83.09346662572327,8809.669513943829,636.6593839349225,6955.224609375,9474.609375,0.012774219,0.010182686,0.0035830238,0.042092726
sougnabe,approve,original,-15.956101417541504,111.86752319335938,-659.96240234375,186.28125,5827.338981628418,1847.729157789833,775.1953125,9270.0439453125,0.03425657,0.051177405,1.6748263e-05,0.20481496
sougnabe,approve,pitch_shift,-19.239517211914062,118.05498504638672,-681.8193969726562,201.88369750976562,6470.895767211914,2066.269043803119,947.4609375,9797.607421875,0.023859216,0.033069856,7.701166e-05,0.11942505
sougnabe,approve,time_stretch,-18.4437198638916,119.31172943115234,-699.1566772460938,178.01486206054688,5936.321736273365,1742.970621468813,764.4287109375,9151.611328125,0.023006499,0.03169071,3.346837e-05,0.12726538
sougnabe,approve,background_noise,-13.285474338191916,76.31110106118422,-359.278506116945,121.5254791185755,8600.24356842041,1143.4697089454958,4112.841796875,9463.8427734375,0.03602337,0.05022379,0.003412348,0.20500638
sougnabe,confirm,original,-16.128568649291992,112.13396453857422,-661.5313720703125,155.48739624023438,5166.688804359703,2440.123204891265,807.4951171875,9194.677734375,0.026927518,0.03514053,4.604628e-06,0.13151717
sougnabe,confirm,pitch_shift,-19.313732147216797,117.7037353515625,-681.615478515625,166.96731567382812,5581.918228256119,2770.228569306758,1098.193359375,9819.140625,0.019716302,0.026301559,4.425865e-05,0.10286295
sougnabe,confirm,time_stretch,-18.409175872802734,118.17829132080078,-675.3330688476562,146.2291717529297,5338.33438648897,2542.2397375108053,990.52734375,9108.544921875,0.019692466,0.025993794,1.3560979e-05,0.10159741
sougnabe,confirm,background_noise,-12.891095810371358,75.58536452901181,-359.5799995252513,123.34258977658743,8452.459844842657,1220.8062472429845,4898.8037109375,9539.208984375,0.028673133,0.034039557,0.0034499166,0.1315127
wagner,approve,original,-30.5058536529541,105.70800018310547,-643.396484375,148.3851318359375,6227.971145341981,2666.2018121403407,1571.923828125,9829.9072265625,0.04370311,0.038064465,1.7662493e-05,0.1276085
wagner,approve,pitch_shift,-33.52150344848633,105.79840850830078,-661.5593872070312,133.42254638671875,6105.881946491745,2583.2425075331835,2110.25390625,10023.7060546875,0.02993409,0.024258412,6.6412926e-05,0.074452825
wagner,approve,time_stretch,-31.272300720214844,103.27146911621094,-661.8223876953125,140.8991241455078,6023.668878728693,2632.511131096324,2121.0205078125,9819.140625,0.033090986,0.028403578,0.00010341742,0.10501834
wagner,approve,background_noise,-20.3915283667569,69.1382425754762,-350.6531569312498,106.20906774811701,7776.736622936321,2008.087693129234,3068.4814453125,9829.9072265625,0.044899303,0.037055288,0.0036204988,0.1278058
wagner,confirm,original,-23.339693069458008,81.26283264160156,-599.1871337890625,159.34396362304688,5286.215736126078,2894.6264729981526,936.6943359375,9840.673828125,0.058391403,0.04023987,5.047852e-05,0.15716772
